sentiment,text,user
"neutral","RT @kamagames: The KamaGames-sponsored Irish Olympic Handball team (@IrelandHandball) is heading to Denmark for some key training games.…","Muhamad_RF"
"neutral","良好な状態で感じているトッテナム ・ ホットスパー https://t.co/WxCFJ3w5pz :Auto pickup by wikyou","TranslaNewsHkJp"
"positive","ON AIR: UJFM DRIVE NEWS\n\n@Jahhiness giving you the latest NEWS update, @iamhope_thobs has all your SPORTS &amp;… https://t.co/47Ahp3vgES","ujfm"
"positive","College roundup: UWP men's soccer stays perfect in GLIAC https://t.co/t8CxSzQTNk via @Kenosha_News","Kenosha_News"
"neutral","https://t.co/OAMCGXJfz0","NBC5SteveWright"
"negative","Introducing 'Hail or Fail,' a weekly look at the good and bad from the Redskins' most recent game https://t.co/vVrqSCC7pH","ScottSAllen"
"positive","RT @BlueStarBlog: 10 thoughts on the @dallascowboys win at home over the Giants: @JJT_Journalist https://t.co/8Vyrkss3AV https://t.co/vRvoR…","NBCDFWSports"
"positive","RT @k8tmac: Female college students who want to work in sports: You have ONE MONTH to apply for @AWSM_SportMedia's fantastic internship/sch…","AutismMom6"
"positive","RT @BlueStarBlog: 10 thoughts on the @dallascowboys win at home over the Giants: @JJT_Journalist https://t.co/8Vyrkss3AV https://t.co/vRvoR…","NBCDFW"
"neutral","#سامي_الجابر يسخر من رئيس #النصر ويدخل \"معركة الروج\" متأخرا!\nhttps://t.co/GFgq19LXm4\n#سعودي #الهلال… https://t.co/GkAGPr1ahO","So3ody_Sports"
"neutral","«Динамо» выплатит Мвила еще 316 тысяч евро https://t.co/EySwDrd8KF https://t.co/7X8JnCbGKi","news_dynamo"
"positive","10 thoughts on the @dallascowboys win at home over the Giants: @JJT_Journalist https://t.co/8Vyrkss3AV https://t.co/vRvoRYrTgW","BlueStarBlog"
"neutral","Dibni or comeback fight Red Devils https://t.co/39KUL6PC0z :Auto pickup by wikyou","TranslaNewsHkEn"
"neutral","At Spire Leeds we offer a comprehensive adolescent sports injury service – treating everything from growth plate an… https://t.co/lu4QLCmNlq","SpireLeeds"
"positive","New post (8 referees banned for life; 61 suspended for ten years each as RAG concludes investigations) has been pub… https://t.co/3o7VuBjcpK","ghdailies"
"neutral","RT @InvestNI: News | Supported by Invest NI, sports performance monitoring company @statsports in Newry is expanding its workforce, creatin…","GoldenEyeGavin"
"neutral","バスケ男子不適切な行動で処分‥４選手の謝罪会見に様々な声 https://t.co/HbWyq4jT0T https://t.co/NAH0VffuVv","oreteki_Sports"
"neutral","大谷が2度目の週間MVPを受賞！...そこで振り返りたい今週の大活躍！ https://t.co/XiyWplvYz4 https://t.co/pUqH4qpKhv","oreteki_Sports"
"neutral","プロ野球で初！eスポーツに「パワプロ」で参戦 https://t.co/VzEhL4FQAp https://t.co/XR0wNpOvzq","oreteki_Sports"
"neutral","RT @mayo8739: 宇野は「インテリジェンス」五輪メダリストが太鼓判\n https://t.co/DUnhgeL8Pm","angela2013br"
"negative","In other bad #sports news, the #Indians lost to the #Tigers in yesterday's #baseball game. Find our coverage in tod… https://t.co/t39foQfi5z","ThePlainDealer"
"negative","RT @cricketnext: .@imVkohli's absence from #AsiaCup has got BCCI into a head on collision course with Asian Cricket Council after broadcast…","S_Krishna1"
"neutral","Police shooting protesters march outside Cowboys' stadium - ABC News -  via @ABC https://t.co/a3oUcPF4I7","patriototheend"
"neutral","Sports Betting News: What are the odds? Colleges fear sports betting will lead to cheating https://t.co/YuSjZzkJrU… https://t.co/BdhNxQR6Ld","robinsportsnews"
"negative","RT @QCountrynews: Saskatchewan RCMP include Manitoba and Alberta in their expanded search for missing six-year-old girl. https://t.co/JkvJ3…","jsjlivestock"
"negative","RT @ntvuganda: Hoteliers keen on promoting Sports Economy #NTVNews\n\nThe organisers of the 18 hole golf course tourney due 3-6th October, sa…","warriorpharaoh7"
"positive","RT @PaulNut: This is lovely news after a hideous 24 hours. @MarkGlennMurphy and The Beat will be reunited at the Arias when our 1978 FA Cup…","ITFC_SLO"
"neutral","RT @InvestNI: News | Supported by Invest NI, sports performance monitoring company @statsports in Newry is expanding its workforce, creatin…","LanyonComms"
"negative","Buffalo Bills' Vontae Davis retires at halftime of game - Fox News https://t.co/vZUKNTxFDQ","TheUrbanNewz"
"positive","RT @DCMS: Sports Minister @tracey_crouch looks forward to seeing the positive impact of @EnglandRugby's announcement offering full-time con…","StradivariAce"
"neutral","Eight GoFundMe accounts created for FSU football coach Willie Taggart's buyout https://t.co/VP68Xj7Zd4 https://t.co/mBlJV7EWli","TheNewsPress"
"negative","RT @JacksonWGlobal: [NEWS] 180917 The Daily Sports:\nGOT7 Jackson, \"The reason that fans like me, it's due to my personality instead of my v…","dxwnofus"
"neutral","Manifestants descendent sur AT https://t.co/uJlZ2FG7jm :Auto pickup by wikyou","TranSpoNewsEnFr"
"neutral","RT @kobeshinbun: 【速報】Ｊ１神戸　新監督はスペイン人のリージョ氏 https://t.co/3iMlMA6nyY\n#神戸新聞 #ヴィッセル神戸 https://t.co/82ifYSKQhN","aonamida_pencil"
"neutral","阿炎、大坂なおみから注目され笑顔「印象残ったと言ってくれるのはうれしい」／秋場所 https://t.co/8pgAE6Caz5","spopostbot"
"neutral","News | Supported by Invest NI, sports performance monitoring company @statsports in Newry is expanding its workforc… https://t.co/UU6VDe1UpQ","InvestNI"
"positive","Pakistan starts new satellite new channels added \nlike 24 news ,ten sports, ptv Parliament.\nsat information\nProtoSt… https://t.co/qjD125NU4S","Hashimfarhan5"
"neutral","RT @CNDSportsDesk: This week's Clayton Fan's Choice Football Player of the Week choices are:\n\nRyan Nobles, @MillMundy \n\nDominique Lowrey, @…","DblGoodness5144"
"positive","#Ahly's defender Naguib out indefinitely, Soliman fit for #Horoya test https://t.co/nxyU9BDvM2 #Egypt https://t.co/ty8xraL9gF","AO_Sports"
"neutral","RT @IndyStarSports: In @IndyCar news, 2017 Indy 500 champ Takuma Sato will return to @RLLracing in 2019.\nhttps://t.co/Zl5i6ZKBKQ","terashima1212"
"neutral","தமிழக டேபிள் டென்னிஸ் வீரர் சத்யன் ஞானசேகரன் உள்ளிட்ட 18 பேருக்கு அர்ஜூனா விருதுகள்\nhttps://t.co/QVioteSNPw\n#ArjunaAwards2018","ThanthiTV"
"neutral","RT @ABSCBNNews: Amidst UP residency, Ricci wades into showbiz https://t.co/yD45ayg48J","kimlydelle"
"positive","RT @EuropeanLMS: .@ZBrownCEO - @UnitedAutosport \"I love @circuitspa and I’m excited to be there so fingers crossed we get a good result!\"…","Oto_Sports"
"positive","RT @sjsofabulous: 180917 This is the most read news from sports donga, 418 likes with 73% responds from female in their 20s. 20s! Who said…","allyssanm"
