sentiment,text,user
"neutral","RT @thenancan: @CarnivoresCreed Turning anything, even eating, into a religion reliably will make the violence kick in.","SweetJimmyLee"
"neutral","@liarpoliticians ...because this one religion gets arsy at the drop of a hat, will run amok, and some of its adhere… https://t.co/nO4YYIfbxH","R_Poo_B_Poo"
"positive","@DGeldenhuys @LyndaAtchison @Trinityleigh65 @OzraeliAvi Hey mini yes it's a beautiful religion ❤️❤️❤️","rubycooper007"
"positive","RT @GreatestQuotes: We can live without religion and meditation, but we cannot survive without human affection. - Dalai Lama","Cj_chintan"
"neutral","RT @agirgisss: ‘Female circumcision’ is a misleading term for mutilation. Theres no health benefits and numerous health consequences. It is…","simplysaimz"
"neutral","RT @Vidyut: God is a hoax.\n\nReligion is a scam\n\nReligious cults are cartels.\n\nWomen believing in religion is Stockholm Syndrome.\n\nPeriyar i…","aadharscam"
"positive","RT @reelistreview: #DISOBEDIENCE is a movie to watch during #PrideMonth In the heart of bustling modern-day London, isolation exists &amp; its…","reelistreview"
"positive","Today the new book from our Fellow Dr Sriya Iyer is published in the US! 'The Economics of Religion in India', publ… https://t.co/9ELJx2ky1R","Catz_Cambridge"
"positive","RT @DrJulesGomes: @JustinWelby cuddles up to the trade unions exposing himself as a Full Monty socialist. My column for @RepStandard \"The r…","DrJulesGomes"
"neutral","@MarkPocan @DonaldJTrumpJr @DailyCaller He is no Muslim Sir.! I have no idea why his group uses the name \"Islam\" in… https://t.co/Okj9M4tsZ9","Alkofide"
"positive","Soooo my religion exam was wayyy too easy 🤨 .... feel like there’s a catch, now I’m going to be anxious all week 😓","ashcakesss12"
"neutral","RT @WolffWaldo: Muy interesante cuando aparecen pruebas concretas de un delito y la gente se pregunta si lo crees.\nNo es una religión.","spockguilera"
"neutral","@GuillermoBGR No sera que \"su religión\" les prohíbe mostrar respeto a los símbolos patrios.. Acciones cívicas.. Eve… https://t.co/bQTvAMykNt","tengounladoB"
"neutral","RT @lunalegna: BBC News Mundo - \"No hay que buscar en la ciencia la capacidad de negar la religión\": Antonio Lazcano, el biólogo evolutivo…","davidnosoy"
